iNg31,Hin31
troubled,preshαn
ultimate,anтim
universe,brɦmαnd
unlikely,unlikely
upstairs,upr
vacation,chutti
validity,weiԃhтα
valuable,kimтi
variable,ćr
vertical,khdα
violence,ɦinsα
weakness,kmzori
whatever,whatever
whenever,whenever
wherever,wherever
wildlife,wildlife
withdraw,nikαlnα
workshop,kαryshαlα
yourself,yourself
accompany,sαтh
according,anusαr
admission,prwesh
advantage,fαyԃα
adventure,adventure
aesthetic,aesthetic
afternoon,ԃopɦr
afterward,afterward
agreement,smzhoтα
allegedly,allegedly
alongside,alongside
ambitious,mɦтwαkαńksi
amendment,snshoԃhn
anonymous,gumnαm
apartment,apαrtment
apologize,apologize
architect,wαsтukαr
assistant,sɦαyk
associate,associate
attention,ԃhyαn
attribute,gun
authority,aԃhikαr
authorize,aԃhikriт
automatic,swćαliт
available,uplbԃh
awareness,zαgrukтα
basically,basically
beautiful,sunԃr
beginning,shuruαт
biography,ziwni
boyfriend,ԃosт
breakfast,nαshтα
breathing,breathing
brilliant,shαnԃαr
broadcast,prsαrn
butterfly,тiтli
calculate,calculate
candidate,ummiԃwαr
carefully,carefully
celebrate,celebrate
celebrity,celebrity
certainly,certainly
challenge,ćunoтi
character,ćriтr
chemistry,chemistry
childhood,bćpn
chocolate,ćoklet
christian,isαi
christmas,krisms
cigarette,sigret
classical,klαsik
classroom,kksα
coalition,gthbnԃhn
cognitive,sńgyαnαтmk
colleague,sɦkrmi
collector,collector
columnist,sтmbhkαr
commander,kmαndr
committee,smiтi
commodity,mαl
community,smuԃαy
companion,sαтhi
complaint,shikαyт
component,awyw
concerned,smbnԃhiт
condition,sтhiтi
confident,ααтmwishwαsi
confusion,bhrm
conscious,sćeт
consensus,srwsmmтi
construct,construct
container,container
continent,mɦαԃwip
continued,zαri
convinced,kαyl
cooperate,sɦyog
corporate,nigmiт
correctly,correctly
counselor,kαunslr
courtroom,aԃαlт
criticism,ααloćnα
criticize,criticize
curiosity,zigyαsα
currently,currently
dangerous,khтrnαk
defendant,prтiwαԃi
defensive,bćαw
democracy,przαтnтr
departure,prsтhαn
dependent,ααshriт
depending,depending
depressed,awsαԃgrsт
desperate,nirαsh
detective,zαsusi
determine,thαnnα
developer,dewlpr
diagnosis,niԃαn
different,alg
difficult,kthin
dimension,ααyαm
direction,ԃishα
disappear,gαyb
discourse,prwćn
discovery,khoz
diversity,wiwiԃhтα
economics,arтhshαsтr
economist,arтhshαsтri
ecosystem,ecosystem
education,shiksα
effective,asrԃαr
efficient,kushl
elaborate,elaborate
eliminate,ɦtαnα
elsewhere,kɦi
emergency,ααpαтkαl
emotional,bhαwnαтmk
emphasize,emphasize
encounter,encounter
encourage,encourage
equipment,upkrn
essential,ααwshyk
establish,establish
estimated,anumαniт
everybody,everybody
evolution,wikαs
excellent,uтkrist
exception,apwαԃ
excessive,aтyԃhik
exclusive,anny
execution,kαryαnwyn
executive,kαrykαrini
existence,asтiтw
expansion,wisтαr
expensive,mɦńgα
expertise,wishesgyтα
explosion,wisfot
extension,wisтαr
extensive,wyαpk
extremely,aтynт
fantastic,zbrԃsт
favorable,anukul
financial,wiттiy
fisherman,mchuα
following,agle
foreigner,prԃeshi
formation,gthn
framework,ruprekhα
franchise,mтαԃhikαr
frequency,ααwriттi
frustrate,ɦтαsh
full-time,full-time
furniture,frnićr
gathering,sbhα
generally,generally
gentleman,szzn
gradually,ԃhire-ԃhire
guarantee,gαrnti
guideline,ԃishαnirԃesh
happiness,khushi
high-tech,high-tech
highlight,highlight
historian,iтiɦαskαr
hopefully,hopefully
household,priwαr
hurricane,ćkrwαт
identical,smαn
immediate,тurnт
immigrant,ααprwαsi
implement,implement
important,mɦтwpurn
incentive,proтsαɦn
including,shαmil
increased,increased
indicator,sućk
infection,sńkrmn
inflation,inflation
influence,prbhαw
initially,initially
inspector,inspektr
instantly,тurnт
insurance,bimα
integrate,integrate
integrity,akhndтα
intensity,тiwrтα
intention,irαԃα
interfere,ɦsтksep
interpret,wyαkhyα
interrupt,interrupt
interview,sαksαтkαr
introduce,introduce
invention,ααwiskαr
inventory,bhndαr
invisible,aԃrishy
isolation,ekαnт
knowledge,gyαn
landscape,priԃrishy
liability,ԃeyтα
lifestyle,lifestyle
lightning,lightning
literally,aksrsha
long-term,ԃirghkαlik
magnitude,primαn
marketing,wipnn
meanwhile,meanwhile
mechanism,тnтr
migration,prwαs
mortality,mortality
municipal,ngrpαlikα
narrative,ααkhyαn
naturally,naturally
necessary,zruri
necessity,zrurт
negotiate,negotiate
newspaper,akhbαr
nightmare,nightmare
nonprofit,geir-lαbhkαri
northeast,northeast
northwest,uттrpshćim
objection,ααpттi
objective,uԃԃeshy
obviously,obviously
offensive,apriy
one-third,one-third
operating,ααpretińg
operation,sćαln
organized,sńgthiт
otherwise,anyтhα
ourselves,ourselves
overnight,overnight
overwhelm,dub
ownership,swαmiтw
partially,partially
passenger,yαтri
perceived,perceived
perfectly,perfectly
performer,abhineтα
permanent,sтhαyi
personnel,kαrmik
physician,ćikiтsk
placement,plesment
policeman,puliskrmi
political,rαzniтik
pollution,prԃusn
portfolio,portfoliyo
potential,smbhαwnα
practical,wyαwɦαrik
precisely,precisely
pregnancy,grbhαwsтhα
president,aԃhyks
primarily,primarily
principal,prԃhαnαćαry
principle,siԃԃhαnт
privately,privately
privilege,wishesαԃhikαr
procedure,prkriyα
processor,prosesr
professor,profesr
prominent,prmukh
promising,promising
promotion,pԃonnтi
provision,prαwԃhαn
publicity,prćαr
publisher,prkαshk
radiation,wikirn
realistic,yтhαrтhwαԃi
reception,swαgт
recession,mnԃi
recipient,prαpтkrтα
recognize,pɦćαnnα
recommend,recommend
recording,rikordińg
reduction,kmi
reference,snԃrbh
regarding,regarding
regularly,regularly
regulator,niyαmk
reinforce,suԃridh
religious,ԃhαrmik
reluctant,anićchuk
remaining,shes
reporting,riportińg
represent,represent
residence,residence
routinely,routinely
sacrifice,sacrifice
satellite,upgrɦ
scientist,weigyαnik
screening,skrinińg
sculpture,murтi
secondary,mαԃhymik
secretary,sćiw
seemingly,seemingly
selection,ćyn
sensation,snsni
sensitive,snweԃnshil
sentiment,bhαw
seriously,seriously
sexuality,kαmukтα
signature,ɦsтαksr
similarly,similarly
situation,prisтhiтi
so-called,ттhαkтhiт
something,kuch
sometimes,kbhi-kbhi
somewhere,kɦi
southeast,southeast
southwest,southwest
specialty,speshliti
speculate,atkle
spiritual,ααԃhyαтmik
spokesman,prwkтα
stability,sтhirтα
statement,kтhn
stimulate,uksαnα
strategic,rnniтik
structure,snrćnα
substance,pԃαrтh
suffering,kst
supporter,smrтhk
surprised,ɦeirαn
suspicion,snԃeɦ
technical,тkniki
technique,тknik
telephone,telifon
telescope,ԃurbin
temporary,asтhαyi
territory,ilαkα
terrorism,ααтńk
terrorist,ααтńkwαԃi
testimony,gwαɦi
therapist,ćikiтsk
therefore,islie
threshold,simα
tolerance,sɦnshilтα
touchdown,tćdαun
tradition,prmprα
transform,priwrтn
translate,anuwαԃ
transport,priwɦn
treatment,ilαz
twentieth,twentieтh
typically,typically
uncertain,dhulmul
undermine,kmzor
undertake,undertake
universal,sαrwbhomik
variation,uтαr-ćdhαw
vegetable,sbzi
violation,ullńghn
virtually,virtually
voluntary,sweićchik
volunteer,swynsewk
warehouse,goԃαm
wonderful,ααshćryznk
workplace,kαrysтhl
worldwide,worldwide
yesterday,kl
youngster,nozwαn
absolutely,bilkul
accelerate,accelerate
acceptable,swikαry
acceptance,swikαr
accessible,accessible
accomplish,accomplish
accounting,lekhαńkn
accurately,accurately
accusation,ααrop
additional,aтirikт
adjustment,smαyozn
administer,prshαsn
adolescent,kishor
aggression,ααkrmn
aggressive,ααkrαmk
allegation,ααrop
altogether,altogether
ambassador,rαzԃuт
anticipate,anticipate
apparently,apparently
appearance,upsтhiтi
appreciate,appreciate
articulate,mukhr
artificial,kriтrim
assessment,ααkln
assignment,kαrybhαr
assistance,sɦαyтα
associated,smbnԃhiт
assumption,mαnyтα
astronomer,astronomer
atmosphere,wαyumndl
attendance,upsтhiтi
attraction,ααkrsn
attractive,ααkrsk
automobile,ααtomobαil
background,pristhbhumi
bankruptcy,ԃiwαliyαpn
basketball,bαsketbαl
behavioral,wywɦαr
biological,zeiwik
capability,shmтα
collection,sńgrɦ
collective,sαmuɦik
commercial,wyαwsαyik
commission,ααyog
commitment,prтibԃԃhтα
comparable,тulniy
comparison,тulnα
compelling,smmoɦk
competitor,prтisprԃhi
completely,completely
complexity,ztilтα
compliance,anupαln
compromise,smzhoтα
conception,ԃhαrnα
concerning,concerning
conclusion,niskrs
conference,smmeln
confession,swikαrokтi
confidence,ααтmwishwαs
connection,knekshn
conscience,conscience
consistent,susńgт
conspiracy,sdynтr
constantly,nirnтr
constitute,constitute
constraint,bαԃhα
consultant,slαɦkαr
continuing,continuińg
continuous,nirnтr
contractor,thekeԃαr
contribute,contribute
convention,smmeln
conversion,priwrтn
conviction,conviction
coordinate,koαrdinet
corruption,bhrstαćαr
counseling,kαunslińg
creativity,rćnαтmkтα
curriculum,pαthykrm
definitely,definitely
definition,pribhαsα
democratic,lokтαnтrik
department,wibhαg
depression,awsαԃ
developing,wikαsshil
difference,anтr
difficulty,kthinαi
diplomatic,kutniтik
disability,wiklαńgтα
discipline,anushαsn
discourage,discourage
discussion,bɦs
distribute,distribute
disturbing,preshαn
earthquake,bhukmp
ecological,pαrisтhiтik
efficiency,shmтα
electrical,wiԃyuтiy
electronic,ilektronik
elementary,prαтhmik
employment,rozgαr
engagement,sgαi
enterprise,uԃym
enthusiasm,uтsαɦ
equivalent,smkks
especially,especially
evaluation,mulyαńkn
eventually,anттa
everything,everything
everywhere,everywhere
excitement,uттeznα
exhibition,prԃrshni
expedition,abhiyαn
experience,anubhw
experiment,pryog
expression,abhiwykтi
facilitate,facilitate
foundation,ninw
frequently,bαr-bαr
friendship,ԃosтi
functional,kαryαтmk
generation,pidhi
girlfriend,ԃosт
government,srkαr
graduation,snαтk
grandchild,poтα
harassment,uтpidn
helicopter,ɦelikαptr
historical,eтiɦαsik
hypothesis,priklpnα
illustrate,illustrate
importance,mɦттw
impossible,asmbhw
impression,prbhαw
impressive,prbhαwshαli
increasing,increasing
incredible,awishwsniy
incredibly,incredibly
indication,sńkeт
indigenous,swԃeshi
individual,wykтi
industrial,oԃyogik
inevitable,aniwαry
inevitably,inevitably
ingredient,ińgredient
initiative,pɦl
innovation,nwαćαr
innovative,abhinw
inspection,niriksn
instructor,prshiksk
instrument,ynтr
integrated,ekikriт
interested,ićchuk
investment,niwesh
invitation,ααmnтrn
ironically,ironically
journalism,pтrkαriтα
journalist,pтrkαr
laboratory,pryogshαlα
leadership,neтriтw
legislator,wiԃhαyk
legitimate,weiԃh
likelihood,smbhαwnα
limitation,prisimn
literature,sαɦiтy
mainstream,mainstream
management,prbnԃh
manipulate,manipulate
meaningful,sαrтhk
mechanical,yαnтrik
medication,ԃwαi
membership,sԃsyтα
missionary,mishnri
motivation,prernα
mysterious,rɦsymy
nationwide,rαstrwyαpi
nomination,nαmαńkn
obligation,ԃαyiтw
occasional,prαsńgik
occupation,peshα
officially,officially
opposition,wiroԃh
optimistic,ααshαwαԃi
originally,originally
particular,wishist
percentage,percentage
perception,ԃhαrnα
permission,anumтi
personally,personally
phenomenon,ghtnα
philosophy,ԃrshn
photograph,foto
physically,physically
politician,rαzniтik
popularity,lokpriyтα
population,znsńkhyα
possession,kbzα
prediction,bhwisywαni
preference,wriyтα
presidency,presidensi
presumably,shαyԃ
prevention,rokтhαm
previously,previously
processing,prsnskrn
production,uтpαԃn
productive,uтpαԃk
profession,peshα
projection,anumαn
proportion,anupαт
prosecutor,abhiyokтα
protection,surksα
protective,rksαтmk
psychology,mnowigyαn
punishment,ԃnd
reasonable,ućiт
reflection,prтibimb
regardless,regardless
regulation,winiymn
regulatory,niyαmk
relatively,apeksαkriт
remarkable,wilksn
repeatedly,repeatedly
reportedly,reportedly
republican,ripblikn
reputation,prтisthα
researcher,shoԃhkrтα
resistance,prтiroԃh
resolution,sńklp
respondent,uттrԃαтα
restaurant,restorent
retirement,niwriттi
revelation,rɦsyoԃghαtn
revolution,krαnтi
ridiculous,ɦαsyαspԃ
scientific,weigyαnik
separation,priтhkkrn
settlement,bsтi
short-term,short-term
similarity,smαnтα
specialist,specialist
specialize,wishesgy
statistics,ααńkde
straighten,siԃhα
strengthen,strengthen
structural,snrćnαтmk
subsequent,subsequent
successful,sfl
sufficient,pryαpт
suggestion,suzhαw
supervisor,pryweksk
supportive,sɦαyk
supposedly,supposedly
surprising,surprising
suspicious,snԃigԃh
tablespoon,tablespoon
technician,тknishiyn
technology,тkniki
television,teliwizn
themselves,khuԃ
thoroughly,thoroughly
throughout,lgαтαr
tournament,turnαment
transition,sńkrmn
tremendous,aԃbhuт
two-thirds,two-thirds
ultimately,ultimately
underlying,ααԃhαrbhuт
understand,smzhnα
unexpected,aprтyαshiт
university,wishwwiԃyαly
vulnerable,asurksiт
well-being,klyαn
well-known,well-known
wheelchair,wɦilćeyr
widespread,widespread
wilderness,zńgl
withdrawal,nikαsi
accommodate,accommodate
achievement,uplbԃhi
acknowledge,acknowledge
acquisition,aԃhigrɦn
advertising,advertising
agriculture,krisi
alternative,wiklp
anniversary,sαlgirɦ
application,ααweԃn
appointment,niyukтi
appropriate,upyukт
arrangement,wywsтhα
association,sńgthn
businessman,wywsαyi
calculation,gnnα
celebration,uтsw
cholesterol,kolestrol
citizenship,sitiznship
combination,snyozn
comfortable,ααrαmԃαyk
communicate,communicate
competition,prтiyogiтα
competitive,prтisprԃhi
complicated,complicated
composition,sńghtn
concentrate,concentrate
consecutive,lgαтαr
consequence,prinαm
consumption,upbhog
contemplate,mnn
contributor,yogԃαnkrтα
controversy,wiwαԃ
convenience,suwiԃhα
cooperation,sɦyog
cooperative,ko-ααpretiw
coordinator,smnwyk
corporation,nigm
correlation,correlation
counterpart,smkks
credibility,sαkh
demographic,znsαńkhyikiy
demonstrate,ԃikhαnα
description,wiwrn
desperately,skhт
destination,gnтwy
destruction,winαsh
devastating,bhyαnk
development,wikαs
differently,differently
distinction,bheԃ
distinctive,wishes
distinguish,distinguish
documentary,wriттćiтr
educational,shiksαтmk
effectively,effectively
electricity,bizli
electronics,ilektrαniks
embarrassed,shrminԃα
emotionally,emotionally
encouraging,uтsαɦwrԃhk
enforcement,prwrтn
engineering,inziniyrińg
environment,pryαwrn
essentially,essentially
examination,priksα
exclusively,kewl
expectation,apeksα
experienced,anubhwi
explanation,spstikrn
exploration,anwesn
fascinating,ααkrsk
flexibility,flexibility
fortunately,fortunately
frustration,nirαshα
fundamental,molik
furthermore,ααge
grandfather,ԃαԃα
grandmother,ԃαԃi
grandparent,ԃαԃα-ԃαԃi
health-care,health-care
ideological,wićαrԃhαrα
imagination,klpnα
immediately,тurnт
immigration,aprwαsn
implication,asra
importantly,importantly
improvement,suԃhαr
incorporate,shαmil
independent,swтnтr
influential,prbhαwshαli
information,zαnkαri
inspiration,prernα
institution,snsтhα
instruction,anuԃesh
integration,ekikrn
intelligent,buԃԃhimαn
interaction,intreikshn
interesting,ԃilćsp
investigate,investigate
involvement,bhαgiԃαri
legislation,wiԃhαn
legislative,wiԃhαyi
legislature,legislature
maintenance,rkhrkhαw
marketplace,bαzαr
mathematics,mathematics
measurement,mαp
necessarily,necessarily
negotiation,bαтćiт
neighboring,pdosi
nonetheless,bɦrɦαl
observation,awlokn
opportunity,awsr
orientation,abhiwinyαs
outstanding,asαԃhαrn
palestinian,filisтini
participant,prтibhαgi
participate,participate
partnership,sαzheԃαri
performance,prԃrshn
personality,wykтiтw
perspective,pripreksy
photography,fotogrαfi
politically,rαzniтik
possibility,smbhαwnα
potentially,smbhαwiт
practically,practically
preliminary,prαrmbhik
preparation,тeiyαri
programming,progrαmińg
progressive,prgтishil
prosecution,prosecution
publication,prkαshn
quarterback,kwαrtrbeik
recognition,mαnyтα
reliability,wishwsniyтα
replacement,prтisтhαpn
requirement,mαńg
reservation,ααrksn
residential,ααwαsiy
responsible,zimmeԃαr
restriction,prтibnԃh
scholarship,chαтrwriттi
self-esteem,swαbhimαn
sensitivity,snweԃnshilтα
shareholder,sheyrԃhαrk
significant,mɦтwpurn
sovereignty,smprbhuтα
spectacular,ԃrshniy
speculation,anumαn
statistical,sαńkhyikiy
substantial,snтosznk
supermarket,suprmαrket
surrounding,surrounding
sustainable,tikαu
temperature,тαpmαn
theological,ulemαo
theoretical,seiԃԃhαnтik
traditional,prmprαgт
transaction,len-ԃen
translation,anuwαԃ
uncertainty,anishćiттα
willingness,ićchα
agricultural,krisi
announcement,ghosnα
appreciation,prshnsα
architecture,wαsтuklα
availability,uplbԃhтα
carbohydrate,kαrboɦαidret
championship,ćeimpiynship
characterize,characterize
christianity,christianity
circumstance,prisтhiтi
civilization,sbhyтα
commissioner,ααyukт
compensation,muαwzα
consequently,flswrup
conservation,snrksn
conservative,rudhiwαԃi
considerable,wićαrniy
considerably,kαfi
consistently,lgαтαr
constitution,snwiԃhαn
construction,nirmαn
contemporary,smkαlin
contribution,yogԃαn
conventional,pαrmprik
conversation,bαтćiт
deliberately,zαn-buzhkr
disappointed,nirαsh
distribution,wiтrn
dramatically,dramatically
economically,ααrтhik
entrepreneur,uԃymi
experimental,pryogαтmk
headquarters,mukhyαly
historically,eтiɦαsik
increasingly,тezi
independence,swтnтrтα
installation,instαleshn
intellectual,boԃԃhik
intelligence,buԃԃhimттα
intervention,ɦsтksep
introduction,prićy
investigator,anwesk
jurisdiction,sheтrαԃhikαr
manufacturer,uтpαԃk
metropolitan,mɦαngr
neighborhood,ados-pdos
nevertheless,nevertheless
occasionally,kbhi-kbhi
organization,sńgthn
overwhelming,overwhelming
particularly,particularly
photographer,fotogrαfr
practitioner,wywsαyi
prescription,nuskhα
presentation,prsтuтi
presidential,aԃhyksiy
productivity,uтpαԃkтα
professional,peshewr
psychologist,mnowigyαni
refrigerator,refrizretr
relationship,smbnԃh
respectively,krmsh:
satisfaction,snтusti
significance,mɦтw
specifically,specifically
successfully,sflтαpurwk
surprisingly,surprisingly
surveillance,nigrαni
thanksgiving,thanksgiving
transmission,sćrn
unemployment,berozgαri
administrator,prshαsk
approximately,lgbhg
automatically,automatically
collaboration,sɦyog
communication,sćαr
comprehensive,wisтriт
concentration,ekαgrтα
confrontation,ααmnα-sαmnα
congressional,kαńgres
consciousness,ćeтnα
consideration,soć-wićαr
controversial,wiwαԃiт
correspondent,snwαԃԃαтα
demonstration,prԃrshn
determination,determination
developmental,developmental
effectiveness,prbhαwshilтα
entertainment,mnornzn
environmental,pryαwrn
establishment,sтhαpnα
extraordinary,asαԃhαrn
institutional,snsтhαgт
instructional,anuԃeshαтmk
international,anтrrαstriy
investigation,investigation
manufacturing,uтpαԃn
old-fashioned,old-fashioned
participation,participation
philosophical,ԃαrshnik
psychological,mnoweigyαnik
questionnaire,prshnαwli
revolutionary,krαnтikαri
significantly,kαfi
sophisticated,ztil
substantially,substantially
technological,тkniki
traditionally,traditionally
uncomfortable,asuwiԃhαznk
undergraduate,awr
understanding,smzh
unfortunately,unfortunately
unprecedented,abhuтpurw
accomplishment,uplbԃhi
accountability,zwαbԃeɦi
administration,prshαsn
administrative,prshαsnik
characteristic,wishesтα
constitutional,snweiԃhαnik
disappointment,nirαshα
discrimination,bheԃbhαw
identification,pɦćαn
implementation,kαryαnwyn
infrastructure,infrastructure
interpretation,wyαkhyα
organizational,sńgthnαтmk
recommendation,sifαrish
rehabilitation,punrwαs
representation,prтiniԃhiтw
representative,prтiniԃhi
responsibility,zimmeԃαri
simultaneously,simultaneously
transformation,priwrтn
transportation,priwɦn
